month,passengers
2013-01,84
2013-01,104
2013-03,116
2013-04,127
2013-05,120
2013-06,116
2013-07,119
2013-08,113
2013-09,110
2013-10,87
2013-11,69
2013-12,78
2014-01,94
2014-01,116
2014-03,142
2014-04,142
2014-05,132
2014-06,134
2014-07,131
2014-08,125
2014-09,118
2014-10,100
2014-11,71
2014-12,83
2015-01,101
2015-02,130
2015-03,148
2015-04,151
2015-05,151
2015-06,146
2015-07,151
2015-08,144
2015-09,126
2015-10,98
2015-11,82
2015-12,92
2016-01,116
2016-02,142
2016-03,167
2016-04,175
2016-05,161
2016-06,167
2016-07,163
2016-08,162
2016-09,137
2016-10,105
2016-11,87
2016-12,99
2017-01,128
2017-01,158
2017-03,187
2017-04,183
2017-05,185
2017-06,178
2017-07,181
2017-08,177
2017-09,152
2017-10,123
2017-11,108
2017-12,107
2018-01,144
2018-01,174
2018-03,207
2018-04,216
2018-05,196
2018-06,199
2018-07,205
2018-08,195
2018-09,174
2018-10,136
2018-11,115
2018-12,120
2019-01,160
2019-02,199
2019-03,228
2019-04,231
2019-05,226
2019-06,223
2019-07,226
2019-08,215
2019-09,192
2019-10,161
2019-11,131
2019-12,133
2020-01,177
2020-02,218
2020-03,243
2020-04,254
2020-05,244
2020-06,247
2020-07,249
2020-08,247
2020-09,212
2020-10,169
2020-11,144
2020-12,139
2021-01,191
2021-01,246
2021-03,272
2021-04,290
2021-05,280
2021-06,273
2021-07,278
2021-08,275
2021-09,234
2021-10,189
2021-11,154
2021-12,161
2022-01,214
2022-01,266
2022-03,308
2022-04,314
2022-05,311
2022-06,306
2022-07,309
2022-08,292
2022-09,258
2022-10,204
2022-11,171
2022-12,183
2023-01,237
2023-02,294
2023-03,344
2023-04,356
2023-05,344
2023-06,345
2023-07,335
2023-08,321
2023-09,279
2023-10,236
2023-11,194
2023-12,201
2024-01,260
2024-02,325
2024-03,387
2024-04,388
2024-05,379
2024-06,376
2024-07,376
2024-08,362
2024-09,314
2024-10,257
2024-11,220
2024-12,228
